WORD,FREQUENCY
the,19820
to,12496
a,9655
and,8487
realdonaldtrump,8474
is,8469
you,7943
in,7729
of,7665
for,6688
i,6648
on,5448
be,4623
trump,4344
great,4301
will,4288
,3741
it,3644
are,3307
that,3243
with,3008
at,2888
we,2820
have,2808
amp,2750
my,2748
he,2389
our,2336
this,2231
your,2177
not,2146
thank,2115
thanks,1996
all,1961
president,1955
was,1948
by,1868
so,1827
just,1820
has,1738
they,1571
donald,1537
people,1531
as,1526
me,1487
from,1473
do,1461
what,1439
would,1370
who,1347
his,1344
if,1338
get,1318
america,1315
but,1310
new,1304
about,1302
very,1292
no,1278
obama,1265
like,1261
can,1250
out,1192
make,1187
now,1174
country,1132
one,1128
time,1120
more,1115
good,1115
should,1113
an,1047
run,1046
up,998
big,979
when,928
again,922
trump2016,912
us,897
love,881
never,877
best,872
only,854
how,854
don't,848
think,843
need,838
going,830
or,815
vote,815
why,808
back,802
via,802
than,797
many,784
see,772
today,761
true,734
am,723
much,707
him,703
really,699
over,695
show,692
rt,680
been,675
hillary,674
go,670
there,668
their,655
last,649
want,634
tonight,615
must,614
job,609
them,606
mr,596
know,594
work,587
it's,587
watch,567
can't,567
barackobama,564
makeamericagreatagain,560
win,559
she,559
day,556
being,553
right,550
had,548
deal,538
bad,537
u.s,536
way,530
even,526
i'm,525
amazing,525
jobs,522
2016,521
were,518
world,515
did,515
news,514
better,514
interview,512
her,511
please,508
doing,506
american,498
ever,498
first,495
foxnews,495
night,494
said,484
years,479
china,473
nice,473
obamacare,470
keep,468
man,467
golf,464
because,463
foxandfriends,460
always,459
real,452
apprentice,451
cont,448
after,440
business,436
look,433
hope,424
made,423
celebapprentice,423
down,421
money,421
into,418
needs,416
take,415
clinton,415
got,413
say,407
cnn,405
next,402
most,402
looking,399
you're,396
course,394
apprenticenbc,394
national,393
poll,385
hard,384
well,379
give,376
another,375
media,373
happy,372
done,372
debate,371
year,369
could,368
forward,363
–,359
tomorrow,351
too,347
other,340
gop,339
does,338
election,338
stop,337
u,337
record,336
some,336
believe,332
enjoy,327
any,327
against,322
tax,321
nothing,321
success,320
campaign,320
every,317
house,314
then,311
support,309
smart,307
everyone,305
which,304
wow,304
total,301
speech,301
soon,299
beautiful,297
live,294
its,291
where,290
wait,290
agree,290
things,288
come,287
congratulations,283
guy,282
state,280
doesn't,280
long,279
nbc,278
morning,278
fantastic,276
crooked,274
wonderful,273
getting,273
off,271
watching,270
such,270
office,269
mittromney,269
before,268
hotel,267
1,264
celebrity,263
also,263
help,261
he's,260
two,260
season,259
let,258
join,258
ratings,257
republicans,257
states,256
book,253
place,252
remember,252
republican,251
far,250
miss,247
making,247
totally,246
strong,246
leader,246
still,245
yes,245
while,243
cruz,243
read,242
here,242
sure,242
put,242
economy,241
life,241
entrepreneurs,241
honor,240
person,239
thing,237
united,237
iowa,236
running,236
york,235
usa,235
top,234
talk,234
terrible,234
change,233
yesterday,232
that's,232
million,230
working,229
own,228
wants,228
americans,227
tower,226
bill,225
week,222
2,222
says,221
sad,221
fake,221
tough,220
fox,217
democrats,217
w,217
bush,216
leadership,214
iran,213
military,213
donaldtrump,213
white,211
lot,208
under,208
luck,208
since,207
border,207
discussing,206
scotland,205
family,205
washington,204
truth,204
these,203
coming,203
ivankatrump,202
polls,201
4,199
wrong,199
crowd,199
proud,198
start,198
art,198
together,198
lost,197
government,196
story,196
party,195
won,195
without,193
those,192
bring,192
high,191
florida,191
massive,191
5,190
stay,188
use,187
presidential,187
awesome,187
both,186
major,186
fast,184
something,184
chicago,183
don’t,183
may,183
same,183
jeb,183
john,182
others,182
disaster,181
hear,180
yourself,180
someone,180
during,179
anyone,179
once,179
candidate,178
security,177
times,176
10,176
leaders,176
fight,176
history,175
looks,175
care,175
i'll,174
friends,174
numbers,174
yet,173
attack,173
didn't,173
everything,173
isis,173
won't,172
meeting,172
building,171
birthday,170
knows,170
pay,169
russia,169
failing,169
greatest,168
truly,168
debt,168
illegal,168
saying,168
trade,166
potus,166
interviewed,166
energy,165
tell,165
winning,164
respect,164
focus,164
open,163
wall,163
already,163
north,163
old,163
away,163
ready,163
pm,162
interesting,162
special,161
anything,161
immigration,161
call,160
video,157
save,157
enough,157
fix,157
having,156
until,156
megynkelly,156
lead,156
rubio,156
women,155
important,155
oil,155
called,155
talking,155
problem,155
home,155
told,154
taxes,153
iraq,153
order,153
doral,153
ted,153
i've,152
city,152
end,152
south,152
seanhannity,151
hit,151
words,151
champion,150
find,150
gave,150
celebrityapprentice,150
around,149
club,149
political,149
through,149
wind,149
nation,148
successful,147
congrats,146
mexico,146
ago,146
little,145
erictrump,145
name,145
stupid,145
carolina,145
friend,144
team,144
worst,144
happen,144
failed,142
oreillyfactor,142
beat,142
it’s,141
become,141
game,141
fun,141
play,141
millions,140
plan,140
twitter,139
else,139
100,139
dems,138
makes,137
point,136
gets,136
wish,136
winner,136
9,135
press,135
speak,135
left,134
used,134
shows,134
chance,134
maga,134
fact,133
dollars,133
god,133
sunday,132
tv,132
3,132
nyc,132
dishonest,132
ties,132
problems,131
obama's,131
star,131
hampshire,131
spending,130
check,130
fired,130
went,130
worse,130
weak,130
sign,129
nytimes,129
mind,129
buy,128
greta,128
a.m,128
congress,128
mess,128
biggest,128
rally,128
politicians,128
“donald,128
ohio,128
administration,126
days,126
healthcare,126
fan,125
barackobama's,125
global,125
future,125
loved,125
finally,124
cuts,124
class,124
macys,124
post,123
p.m,123
cannot,123
international,122
build,121
full,121
trying,121
incredible,121
isn't,121
cut,120
actually,120
taking,120
learn,120
hell,120
senate,120
sir,119
economic,119
let's,118
report,118
politics,118
badly,117
public,116
move,116
losers,116
wonder,115
victory,115
thinking,114
spent,114
market,114
general,114
hate,114
voting,114
trumpdoral,114
control,113
seen,113
follow,112
power,112
event,112
low,112
law,112
safe,111
visit,111
monday,111
favorite,111
thought,110
set,110
stand,110
speaking,110
free,109
dumb,109
less,109
ask,109
absolutely,108
deals,108
warming,108
close,108
continue,107
tremendous,107
war,107
watched,107
supporters,107
korea,107
race,106
pres,106
thoughts,106
loser,106
nobody,106
r,106
j,105
re,105
touch,105
donaldjtrumpjr,105
senator,105
welcome,105
playing,104
i'd,104
part,103
killing,103
haters,103
timetogettough,102
s,102
released,102
almost,102
romney,102
syria,102
small,102
governor,101
vegas,101
excited,101
charity,100
lightweight,100
loves,100
7,99
veterans,99
decision,99
huge,99
zero,99
reason,99
service,99
unemployment,98
feel,98
foreign,98
weekend,97
system,97
given,97
giving,97
able,97
“trump,97
trump's,96
saw,96
waste,96
statement,96
killed,96
billion,96
forget,95
budget,95
lies,95
ebola,95
primary,94
men,94
leaving,94
turn,94
try,94
8,93
can’t,93
stock,93
including,93
listen,92
tune,92
action,92
mark,92
ny,92
trumpchicago,92
create,92
tweets,92
virginia,92
young,92
protect,92
convention,92
d.c,92
sense,91
instead,91
bernie,91
tweet,91
policy,91
glad,91
results,91
melania,90
saturday,90
dc,90
comes,90
easy,90
fair,90
past,90
evening,90
crazy,90
highest,90
terrific,89
wife,89
gas,89
reagan,89
worth,89
act,89
turbines,89
correct,89
article,88
choice,88
mitt,88
case,88
countries,88
pennsylvania,88
fighting,88
west,88
americafirst,88
late,87
lives,87
2012,87
losing,87
boring,87
heard,87
played,87
fire,87
came,87
obama’s,87
today's,86
meet,86
gretawire,86
blue,86
fbi,86
heading,86
advice,85
magazine,85
candidates,85
march,85
took,85
word,85
voted,85
david,84
episode,84
what's,84
texas,84
alexsalmond,84
nfl,84
thx,84
marco,84
letterman,83
reading,83
eric,83
air,83
thousands,83
abc,83
nuclear,83
least,83
conference,83
you've,83
lose,83
bought,83
phony,83
yankees,82
dead,82
trumpvlog,82
face,82
credit,82
started,82
israel,82
answer,82
voters,82
macy's,82
wins,82
crime,82
universe,81
television,81
brand,81
christmas,81
maybe,81
despite,81
links,81
allowed,81
joke,81
carson,81
second,80
pageant,80
mistake,80
continues,80
newsmax_media,80
lots,80
votes,80
billmaher,80
ran,80
chris,80
longer,80
justice,80
turnberry,80
hillaryclinton,80
beginning,79
exciting,79
immediately,79
son,79
laughing,79
horrible,79
term,79
families,79
knew,79
minutes,79
draintheswamp,79
each,78
honored,78
idea,78
starting,78
failure,78
repeal,78
las,77
beach,77
questions,77
prices,77
few,77
paid,77
lie,77
highly,77
reality,76
final,76
george,76
“the,76
companies,76
negative,76
tuesday,76
understand,76
miami,76
runs,76
trumpforpresident,76
votetrump,76
ahead,75
view,75
middle,75
complete,75
months,75
midas,75
mike,75
views,75
ads,75
standing,75
website,75
seeing,74
number,74
chinese,74
taken,74
school,74
piersmorgan,74
false,74
children,74
positive,74
using,74
send,73
endorsement,73
dream,73
announced,73
release,73
asking,73
woman,73
inspiration,73
message,72
raise,72
plans,72
sorry,72
gone,72
talent,72
luxury,72
jebbush,72
movement,71
takes,71
asked,71
bigger,71
hall,71
growth,71
between,71
ad,71
center,71
vets,71
bless,71
amnesty,71
question,70
force,70
gives,70
reporting,70
court,70
pathetic,70
presidency,70
whitehouse,70
dannyzuker,70
list,69
four,69
police,69
don,69
early,69
destroy,69
super,69
america's,69
interest,69
cost,69
leading,69
passion,69
himself,69
danscavino,69
afraid,68
friday,68
surprise,68
company,68
dinner,68
announce,68
wanted,68
poor,68
3rd,68
karlrove,68
price,68
rich,68
cast,68
perhaps,68
announcement,68
probably,68
built,68
everybody,68
college,68
stated,68
father,67
rather,67
line,67
death,67
rosie,67
food,67
behind,67
dummy,67
stories,67
november,67
etc,67
waiting,67
putin,67
arizona,67
shirts,67
we're,66
award,66
tickets,66
goes,66
possible,66
private,66
rate,66
increase,66
strength,66
borders,66
entire,66
records,66
democrat,66
matter,66
2nd,65
kind,65
dopey,65
lets,65
head,65
confidence,65
wisconsin,65
common,65
et,64
books,64
signed,64
along,64
hours,64
freedom,64
enjoyed,64
defense,64
wh,64
hopefully,64
elected,64
incompetent,64
billionaire,64
wouldn't,64
room,64
reform,64
ur,64
opportunity,63
prayers,63
comments,63
tom,63
joe,63
sold,63
met,63
missuniverse,63
hits,63
breitbartnews,63
excellent,63
monster,63
1st,63
all-star,63
happened,63
melaniatrump,63
i’m,62
experience,62
20,62
fully,62
12,62
benghazi,62
trust,62
estate,62
michigan,62
ass,62
alabama,62
courses,61
group,61
billions,61
prez,61
businessman,61
ideas,61
perfect,61
brilliant,61
trumptowerny,61
kasich,61
player,60
resort,60
street,60
host,60
park,60
establishment,60
leave,60
piece,60
6,60
calling,60
pass,60
serious,60
definitely,60
oh,60
doubt,60
honest,60
genius,60
mr.trump,60
imwithyou,60
ivanka,59
five,59
collection,59
omarosa,59
palm,59
needed,59
trillion,59
biased,59
tea,59
defeat,59
couldn't,59
allow,59
paul,59
respected,59
heart,59
offers,59
replace,59
politician,59
health,59
africa,59
spectacular,58
higher,58
16,58
policies,58
sadly,58
debates,58
imagine,58
response,58
fans,58
whole,58
role,58
seriously,58
bet,58
mccain,58
rest,58
level,58
sanders,58
est,57
wwe,57
they're,57
named,57
a-rod,57
missed,57
hey,57
pick,57
apologize,57
terrorists,57
bills,57
brandiglanville,57
opening,56
negotiation,56
calls,56
thinks,56
across,56
canada,56
career,56
boardroom,56
hi,56
momentum,56
7:00,56
teamtrump,56
bigleaguetruth,56
let’s,55
short,55
information,55
caught,55
weeks,55
he’s,55
turned,55
dangerous,55
cover,55
appreciate,55
large,55
hearing,55
players,55
ridiculous,55
paying,55
signature,55
morning_joe,55
michael,54
staff,54
she's,54
wsj,54
track,54
15,54
spend,54
workers,54
dollar,54
vision,54
passed,54
terrorist,54
speaks,54
focused,54
weiner,54
you’re,54
rigged,54
field,54
russian,54
happening,54
sell,54
three,54
mayor,54
nevada,54
funny,53
hotels,53
returns,53
offer,53
50,53
except,53
means,53
sometimes,53
finished,53
gun,53
18,53
hero,53
picture,53
steve,53
university,52
aberdeen,52
cbs,52
tuned,52
key,52
mention,52
opec,52
seems,52
situation,52
often,52
trouble,52
red,52
lied,52
especially,52
tweeting,52
entrepreneur,52
illegals,52
daca,52
discuss,51
there's,51
trip,51
demand,51
members,51
looked,51
mean,51
created,51
whether,51
threat,51
talks,51
you'll,51
brought,51
model,51
found,51
either,51
shot,51
based,51
county,51
rnc,51
minister,51
prime,51
bringing,51
icymi,51
thursday,50
received,50
brave,50
fame,50
joan,50
gold,50
mar-a-lago,50
fraud,50
t,50
enemies,50
signing,50
return,50
former,50
2014,50
nations,50
historic,50
mcuban,50
careful,50
dnc,50
oscars,50
cool,50
wishes,49
financial,49
king,49
expected,49
california,49
aren't,49
realize,49
anymore,49
b,49
radical,49
hosting,49
starts,49
though,49
crowds,49
al,49
cpac,49
secretary,49
desperate,49
spoke,49
kelly,49
doesn’t,49
easily,49
safety,49
guess,49
conservative,49
vp,49
ford,49
month,48
fall,48
raised,48
front,48
federal,48
deficit,48
sick,48
third,48
reporter,48
2013,48
dropped,48
bob,48
va,48
social,48
chuck,48
might,48
daily,48
water,48
barack,48
side,48
telling,48
james,48
realdonaldtrump's,48
nflcommish,48
gov,47
league,47
changed,47
forbes,47
program,47
legal,47
exactly,47
succeed,47
interests,47
muslim,47
liberal,47
mexican,47
among,47
anthony,47
secret,47
points,47
victims,47
colorado,47
indiana,47
int,47
nymag,47
ireland,47
moving,46
putting,46
due,46
int'l,46
30,46
racist,46
lucky,46
photo,46
investigation,46
hands,46
todayshow,46
courage,46
stronger,46
politico,46
attacks,46
pushing,46
outside,46
boston,46
drudge_report,46
geraldorivera,46
enforcement,46
travel,45
cnbc,45
available,45
june,45
lower,45
alone,45
jon,45
unbelievable,45
executive,45
sending,45
shooting,45
dying,45
manufacturing,45
approval,45
works,45
project,45
myself,45
snowden,45
cute,45
mike_pence,45
facebook,44
11,44
hour,44
helping,44
popular,44
kids,44
opportunities,44
east,44
worry,44
simple,44
businesses,44
intelligence,44
premiums,44
fail,44
majority,44
statements,44
claims,44
born,44
spirit,44
sent,44
favor,44
community,44
rights,44
themselves,44
rated,44
january,44
handle,44
14,44
championship,44
unfair,44
“@realdonaldtrump,44
that’s,43
tonight's,43
guest,43
robert,43
vs,43
hold,43
issue,43
straight,43
emails,43
egypt,43
agreed,43
corrupt,43
expect,43
followers,43
atlantic,43
rove,43
quit,43
song,43
beauty,43
opinion,43
13,43
ugly,43
facts,43
arrived,43
angry,43
attention,43
anncoulter,43
7:30,43
nh,43
address,43
immigrants,43
agschneiderman,43
gonna,43
held,42
cause,42
keystone,42
single,42
guys,42
endorsed,42
stopped,42
politically,42
libya,42
clean,42
didn’t,42
hurricane,42
fine,42
vanityfair,42
d,42
climate,42
ben,42
greatly,42
fitn,42
gopdebate,42
trumptrain,42
crookedhillary,42
winners,41
powerful,41
latest,41
effort,41
progress,41
central,41
destroying,41
keeps,41
troops,41
enemy,41
destroyed,41
keeping,41
tells,41
clear,41
solution,41
grand,41
afternoon,41
celebrate,41
carter,41
treated,41
uk,41
tie,41
quickly,41
reports,41
washingtonpost,41
write,41
joan_rivers,41
mother,41
knowledge,41
beyond,41
rooms,41
dem,41
terrorism,41
flotus,41
loss,40
whatever,40
rock,40
afghanistan,40
predicted,40
gift,40
committee,40
amendment,40
wasting,40
property,40
quote,40
drop,40
hand,40
nasty,40
anybody,40
squawkcnbc,40
tried,40
happens,40
graham,40
reported,40
tedcruz,40
leezagibbons,40
collusion,40
holiday,39
packed,39
rivers,39
fabulous,39
stage,39
trumpnewyork,39
cares,39
wealth,39
network,39
lord,39
buying,39
living,39
drug,39
mine,39
kill,39
clue,39
fool,39
hurt,39
notice,39
anyway,39
decisions,39
vince,39
challenge,39
proven,39
saved,39
warren,39
listening,39
laws,39
7pm,39
rule,39
schneiderman,39
mikeandmike,39
daughter,38
seem,38
“if,38
world's,38
black,38
bedminster,38
anniversary,38
trumplasvegas,38
setting,38
consider,38
bankrupt,38
stewart,38
flag,38
supporting,38
guns,38
karl,38
inside,38
exclusive,38
features,38
broken,38
chief,38
ice,38
trumpgolfla,38
heroes,38
terror,38
charge,38
potential,38
scott,38
review,38
dubai,38
u.s.a,38
